id,contact,day,month,duration,campaign,pdays,previous,poutcome
0,unknown,5,may,261,1,-1,0,unknown
1,unknown,5,may,151,1,-1,0,unknown
2,unknown,5,may,76,1,-1,0,unknown
3,unknown,5,may,92,1,-1,0,unknown
4,unknown,5,may,198,1,-1,0,unknown
5,unknown,5,may,139,1,-1,0,unknown
6,unknown,5,may,217,1,-1,0,unknown
7,unknown,5,may,380,1,-1,0,unknown
8,unknown,5,may,50,1,-1,0,unknown
9,unknown,5,may,55,1,-1,0,unknown
10,unknown,5,may,222,1,-1,0,unknown
11,unknown,5,may,137,1,-1,0,unknown
12,unknown,5,may,517,1,-1,0,unknown
13,unknown,5,may,71,1,-1,0,unknown
14,unknown,5,may,174,1,-1,0,unknown
15,unknown,5,may,353,1,-1,0,unknown
16,unknown,5,may,98,1,-1,0,unknown
17,unknown,5,may,38,1,-1,0,unknown
18,unknown,5,may,219,1,-1,0,unknown
19,unknown,5,may,54,1,-1,0,unknown
20,unknown,5,may,262,1,-1,0,unknown
21,unknown,5,may,164,1,-1,0,unknown
22,unknown,5,may,160,1,-1,0,unknown
23,unknown,5,may,342,1,-1,0,unknown
24,unknown,5,may,181,1,-1,0,unknown
25,unknown,5,may,172,1,-1,0,unknown
26,unknown,5,may,296,1,-1,0,unknown
27,unknown,5,may,127,1,-1,0,unknown
28,unknown,5,may,255,2,-1,0,unknown
29,unknown,5,may,348,1,-1,0,unknown
30,unknown,5,may,225,1,-1,0,unknown
31,unknown,5,may,230,1,-1,0,unknown
32,unknown,5,may,208,1,-1,0,unknown
33,unknown,5,may,226,1,-1,0,unknown
34,unknown,5,may,336,1,-1,0,unknown
35,unknown,5,may,242,1,-1,0,unknown
36,unknown,5,may,365,1,-1,0,unknown
37,unknown,5,may,1666,1,-1,0,unknown
38,unknown,5,may,577,1,-1,0,unknown
39,unknown,5,may,137,1,-1,0,unknown
40,unknown,5,may,160,1,-1,0,unknown
41,unknown,5,may,180,2,-1,0,unknown
42,unknown,5,may,22,1,-1,0,unknown
43,unknown,5,may,1492,1,-1,0,unknown
44,unknown,5,may,616,1,-1,0,unknown
45,unknown,5,may,242,1,-1,0,unknown
46,unknown,5,may,355,1,-1,0,unknown
47,unknown,5,may,225,2,-1,0,unknown
48,unknown,5,may,160,1,-1,0,unknown
49,unknown,5,may,363,1,-1,0,unknown
50,unknown,5,may,266,1,-1,0,unknown
51,unknown,5,may,253,1,-1,0,unknown
52,unknown,5,may,179,1,-1,0,unknown
53,unknown,5,may,787,1,-1,0,unknown
54,unknown,5,may,145,1,-1,0,unknown
55,unknown,5,may,174,1,-1,0,unknown
56,unknown,5,may,104,1,-1,0,unknown
57,unknown,5,may,13,1,-1,0,unknown
58,unknown,5,may,185,1,-1,0,unknown
59,unknown,5,may,1778,1,-1,0,unknown
60,unknown,5,may,138,1,-1,0,unknown
61,unknown,5,may,812,1,-1,0,unknown
62,unknown,5,may,164,1,-1,0,unknown
63,unknown,5,may,391,1,-1,0,unknown
64,unknown,5,may,357,1,-1,0,unknown
65,unknown,5,may,91,1,-1,0,unknown
66,unknown,5,may,528,1,-1,0,unknown
67,unknown,5,may,273,1,-1,0,unknown
68,unknown,5,may,158,2,-1,0,unknown
69,unknown,5,may,177,1,-1,0,unknown
70,unknown,5,may,258,1,-1,0,unknown
71,unknown,5,may,172,1,-1,0,unknown
72,unknown,5,may,154,1,-1,0,unknown
73,unknown,5,may,291,1,-1,0,unknown
74,unknown,5,may,181,1,-1,0,unknown
75,unknown,5,may,176,1,-1,0,unknown
76,unknown,5,may,211,1,-1,0,unknown
77,unknown,5,may,349,1,-1,0,unknown
78,unknown,5,may,272,1,-1,0,unknown
79,unknown,5,may,208,1,-1,0,unknown
80,unknown,5,may,193,1,-1,0,unknown
81,unknown,5,may,212,1,-1,0,unknown
82,unknown,5,may,20,1,-1,0,unknown
83,unknown,5,may,1042,1,-1,0,unknown
84,unknown,5,may,246,1,-1,0,unknown
85,unknown,5,may,529,2,-1,0,unknown
86,unknown,5,may,1467,1,-1,0,unknown
87,unknown,5,may,1389,1,-1,0,unknown
88,unknown,5,may,188,2,-1,0,unknown
89,unknown,5,may,180,2,-1,0,unknown
90,unknown,5,may,48,1,-1,0,unknown
91,unknown,5,may,213,2,-1,0,unknown
92,unknown,5,may,583,1,-1,0,unknown
93,unknown,5,may,221,1,-1,0,unknown
94,unknown,5,may,173,1,-1,0,unknown
95,unknown,5,may,426,1,-1,0,unknown
96,unknown,5,may,287,1,-1,0,unknown
97,unknown,5,may,101,1,-1,0,unknown
98,unknown,5,may,203,1,-1,0,unknown
99,unknown,5,may,197,1,-1,0,unknown
100,unknown,5,may,257,1,-1,0,unknown
101,unknown,5,may,124,1,-1,0,unknown
102,unknown,5,may,229,1,-1,0,unknown
103,unknown,5,may,55,3,-1,0,unknown
104,unknown,5,may,400,1,-1,0,unknown
105,unknown,5,may,197,1,-1,0,unknown
106,unknown,5,may,190,1,-1,0,unknown
107,unknown,5,may,21,1,-1,0,unknown
108,unknown,5,may,514,1,-1,0,unknown
109,unknown,5,may,849,2,-1,0,unknown
110,unknown,5,may,194,1,-1,0,unknown
111,unknown,5,may,144,1,-1,0,unknown
112,unknown,5,may,212,2,-1,0,unknown
113,unknown,5,may,286,1,-1,0,unknown
114,unknown,5,may,107,1,-1,0,unknown
115,unknown,5,may,247,2,-1,0,unknown
116,unknown,5,may,518,1,-1,0,unknown
117,unknown,5,may,364,1,-1,0,unknown
118,unknown,5,may,178,1,-1,0,unknown
119,unknown,5,may,98,1,-1,0,unknown
120,unknown,5,may,439,1,-1,0,unknown
121,unknown,5,may,79,1,-1,0,unknown
122,unknown,5,may,120,3,-1,0,unknown
123,unknown,5,may,127,2,-1,0,unknown
124,unknown,5,may,175,1,-1,0,unknown
125,unknown,5,may,262,2,-1,0,unknown
126,unknown,5,may,61,1,-1,0,unknown
127,unknown,5,may,78,1,-1,0,unknown
128,unknown,5,may,143,1,-1,0,unknown
129,unknown,5,may,579,1,-1,0,unknown
130,unknown,5,may,677,1,-1,0,unknown
131,unknown,5,may,345,1,-1,0,unknown
132,unknown,5,may,185,1,-1,0,unknown
133,unknown,5,may,100,2,-1,0,unknown
134,unknown,5,may,125,2,-1,0,unknown
135,unknown,5,may,193,1,-1,0,unknown
136,unknown,5,may,136,1,-1,0,unknown
137,unknown,5,may,73,1,-1,0,unknown
138,unknown,5,may,528,1,-1,0,unknown
139,unknown,5,may,541,1,-1,0,unknown
140,unknown,5,may,163,1,-1,0,unknown
141,unknown,5,may,301,1,-1,0,unknown
142,unknown,5,may,46,1,-1,0,unknown
143,unknown,5,may,204,1,-1,0,unknown
144,unknown,5,may,98,1,-1,0,unknown
145,unknown,5,may,71,1,-1,0,unknown
146,unknown,5,may,157,2,-1,0,unknown
147,unknown,5,may,243,1,-1,0,unknown
148,unknown,5,may,186,2,-1,0,unknown
149,unknown,5,may,579,2,-1,0,unknown
150,unknown,5,may,163,2,-1,0,unknown
151,unknown,5,may,610,2,-1,0,unknown
152,unknown,5,may,2033,1,-1,0,unknown
153,unknown,5,may,85,1,-1,0,unknown
154,unknown,5,may,114,2,-1,0,unknown
155,unknown,5,may,114,2,-1,0,unknown
156,unknown,5,may,57,1,-1,0,unknown
157,unknown,5,may,238,1,-1,0,unknown
158,unknown,5,may,93,3,-1,0,unknown
159,unknown,5,may,128,2,-1,0,unknown
160,unknown,5,may,107,1,-1,0,unknown
161,unknown,5,may,181,1,-1,0,unknown
162,unknown,5,may,303,2,-1,0,unknown
163,unknown,5,may,558,5,-1,0,unknown
164,unknown,5,may,270,1,-1,0,unknown
165,unknown,5,may,228,1,-1,0,unknown
166,unknown,5,may,99,1,-1,0,unknown
167,unknown,5,may,240,1,-1,0,unknown
168,unknown,5,may,673,2,-1,0,unknown
169,unknown,5,may,233,3,-1,0,unknown
170,unknown,5,may,1056,1,-1,0,unknown
171,unknown,5,may,250,1,-1,0,unknown
172,unknown,5,may,252,1,-1,0,unknown
173,unknown,5,may,138,1,-1,0,unknown
174,unknown,5,may,130,1,-1,0,unknown
175,unknown,5,may,412,1,-1,0,unknown
176,unknown,5,may,179,2,-1,0,unknown
177,unknown,5,may,19,2,-1,0,unknown
178,unknown,5,may,458,2,-1,0,unknown
179,unknown,5,may,717,1,-1,0,unknown
180,unknown,5,may,313,1,-1,0,unknown
181,unknown,5,may,683,2,-1,0,unknown
182,unknown,5,may,1077,1,-1,0,unknown
183,unknown,5,may,416,1,-1,0,unknown
184,unknown,5,may,146,2,-1,0,unknown
185,unknown,5,may,167,1,-1,0,unknown
186,unknown,5,may,315,1,-1,0,unknown
187,unknown,5,may,140,1,-1,0,unknown
188,unknown,5,may,346,1,-1,0,unknown
189,unknown,5,may,562,1,-1,0,unknown
190,unknown,5,may,172,1,-1,0,unknown
191,unknown,5,may,217,1,-1,0,unknown
192,unknown,5,may,142,2,-1,0,unknown
193,unknown,5,may,67,1,-1,0,unknown
194,unknown,5,may,291,1,-1,0,unknown
195,unknown,5,may,309,2,-1,0,unknown
196,unknown,5,may,248,1,-1,0,unknown
197,unknown,5,may,98,1,-1,0,unknown
198,unknown,5,may,256,1,-1,0,unknown
199,unknown,5,may,82,2,-1,0,unknown
200,unknown,5,may,577,1,-1,0,unknown
201,unknown,5,may,286,1,-1,0,unknown
202,unknown,5,may,477,1,-1,0,unknown
203,unknown,5,may,611,2,-1,0,unknown
204,unknown,5,may,471,1,-1,0,unknown
205,unknown,5,may,381,2,-1,0,unknown
206,unknown,5,may,42,1,-1,0,unknown
207,unknown,5,may,251,1,-1,0,unknown
208,unknown,5,may,408,1,-1,0,unknown
209,unknown,5,may,215,1,-1,0,unknown
210,unknown,5,may,287,1,-1,0,unknown
211,unknown,5,may,216,2,-1,0,unknown
212,unknown,5,may,366,2,-1,0,unknown
213,unknown,5,may,210,1,-1,0,unknown
214,unknown,5,may,288,1,-1,0,unknown
215,unknown,5,may,168,1,-1,0,unknown
216,unknown,5,may,338,2,-1,0,unknown
217,unknown,5,may,410,3,-1,0,unknown
218,unknown,5,may,177,1,-1,0,unknown
219,unknown,5,may,127,2,-1,0,unknown
220,unknown,5,may,357,1,-1,0,unknown
221,unknown,5,may,175,1,-1,0,unknown
222,unknown,5,may,300,1,-1,0,unknown
223,unknown,5,may,136,1,-1,0,unknown
224,unknown,5,may,1419,1,-1,0,unknown
225,unknown,5,may,125,2,-1,0,unknown
226,unknown,5,may,213,3,-1,0,unknown
227,unknown,5,may,27,1,-1,0,unknown
228,unknown,5,may,238,2,-1,0,unknown
229,unknown,5,may,124,1,-1,0,unknown
230,unknown,5,may,18,1,-1,0,unknown
231,unknown,5,may,730,2,-1,0,unknown
232,unknown,5,may,746,2,-1,0,unknown
233,unknown,5,may,121,1,-1,0,unknown
234,unknown,5,may,247,1,-1,0,unknown
235,unknown,5,may,40,1,-1,0,unknown
236,unknown,5,may,181,2,-1,0,unknown
237,unknown,5,may,79,1,-1,0,unknown
238,unknown,5,may,206,1,-1,0,unknown
239,unknown,5,may,389,1,-1,0,unknown
240,unknown,5,may,127,1,-1,0,unknown
241,unknown,5,may,702,1,-1,0,unknown
242,unknown,5,may,151,1,-1,0,unknown
243,unknown,5,may,117,1,-1,0,unknown
244,unknown,5,may,232,3,-1,0,unknown
245,unknown,5,may,408,2,-1,0,unknown
246,unknown,5,may,179,2,-1,0,unknown
247,unknown,5,may,39,1,-1,0,unknown
248,unknown,5,may,282,1,-1,0,unknown
249,unknown,5,may,714,2,-1,0,unknown
250,unknown,5,may,50,1,-1,0,unknown
251,unknown,5,may,181,1,-1,0,unknown
252,unknown,5,may,142,1,-1,0,unknown
253,unknown,5,may,227,1,-1,0,unknown
254,unknown,5,may,119,1,-1,0,unknown
255,unknown,5,may,361,1,-1,0,unknown
256,unknown,5,may,73,3,-1,0,unknown
257,unknown,5,may,67,2,-1,0,unknown
258,unknown,5,may,350,1,-1,0,unknown
259,unknown,5,may,332,2,-1,0,unknown
260,unknown,5,may,611,2,-1,0,unknown
261,unknown,5,may,113,2,-1,0,unknown
262,unknown,5,may,132,1,-1,0,unknown
263,unknown,5,may,58,3,-1,0,unknown
264,unknown,5,may,151,1,-1,0,unknown
265,unknown,5,may,89,2,-1,0,unknown
266,unknown,5,may,152,1,-1,0,unknown
267,unknown,5,may,611,2,-1,0,unknown
268,unknown,5,may,110,2,-1,0,unknown
269,unknown,5,may,463,1,-1,0,unknown
270,unknown,5,may,562,2,-1,0,unknown
271,unknown,5,may,962,1,-1,0,unknown
272,unknown,5,may,10,4,-1,0,unknown
273,unknown,5,may,118,3,-1,0,unknown
274,unknown,5,may,92,2,-1,0,unknown
275,unknown,5,may,143,3,-1,0,unknown
276,unknown,5,may,189,3,-1,0,unknown
277,unknown,5,may,234,2,-1,0,unknown
278,unknown,5,may,75,2,-1,0,unknown
279,unknown,5,may,189,2,-1,0,unknown
280,unknown,5,may,621,3,-1,0,unknown
281,unknown,5,may,55,2,-1,0,unknown
282,unknown,5,may,310,4,-1,0,unknown
283,unknown,5,may,156,2,-1,0,unknown
284,unknown,5,may,5,2,-1,0,unknown
285,unknown,5,may,225,2,-1,0,unknown
286,unknown,5,may,125,2,-1,0,unknown
287,unknown,5,may,2,3,-1,0,unknown
288,unknown,5,may,286,2,-1,0,unknown
289,unknown,5,may,164,2,-1,0,unknown
290,unknown,5,may,98,2,-1,0,unknown
291,unknown,5,may,742,2,-1,0,unknown
292,unknown,5,may,226,3,-1,0,unknown
